iter	RMSE
0	0.1607122236
1	0.1597434757
2	0.1588377062
3	0.1580426825
4	0.157366095
5	0.1565795864
6	0.1558832747
7	0.155160436
8	0.154574049
9	0.1541151478
10	0.1536043731
11	0.1531105486
12	0.1526073604
13	0.1521887272
14	0.1518516725
15	0.1514763484
16	0.1511422694
17	0.1507160431
18	0.1503320667
19	0.1499801155
20	0.1496914438
21	0.1493933672
22	0.1490952377
23	0.1488528438
24	0.1486035582
25	0.1483794065
26	0.1481420843
27	0.1478498579
28	0.1476180464
29	0.1472980218
30	0.1470194156
31	0.1468054123
32	0.1465737825
33	0.1463762655
34	0.1461558438
35	0.1459130317
36	0.145711485
37	0.1454991759
38	0.145270244
39	0.1451107283
40	0.1449255588
41	0.1447701461
42	0.1445631249
43	0.1444248439
44	0.1442098636
45	0.1440532621
46	0.1438777367
47	0.1437109618
48	0.1435294103
49	0.1433111819
50	0.1431214326
51	0.142959425
52	0.1427989836
53	0.1426459318
54	0.1424790044
55	0.1423248438
56	0.1421740785
57	0.1420204916
58	0.1418589727
59	0.1416948489
60	0.1415534194
61	0.1413871345
62	0.1412253256
63	0.1411001721
64	0.1409540721
65	0.1408432621
66	0.1407262543
67	0.1406018297
68	0.1404685452
69	0.1403477063
70	0.1402269112
71	0.1401232081
72	0.1399829889
73	0.1398259874
74	0.1397105631
75	0.1395198702
76	0.1393929419
77	0.1392720021
78	0.1391624861
79	0.1390545403
80	0.1389587647
81	0.1388585551
82	0.1387238096
83	0.1385624208
84	0.1384567828
85	0.138355879
86	0.1382333989
87	0.1381277181
88	0.1380145985
89	0.13790213
90	0.1378022277
91	0.1376878561
92	0.1376061326
93	0.1374896253
94	0.1374163343
95	0.1372982305
96	0.1371900037
97	0.1370486835
98	0.1369213263
99	0.1368032293
100	0.1366896093
101	0.1365898026
102	0.1365076643
103	0.1364184615
104	0.1363329692
105	0.1362129447
106	0.1361087247
107	0.1359942837
108	0.1358913644
109	0.1357978783
110	0.1357040033
111	0.135590397
112	0.1354890776
113	0.1354022334
114	0.1353293891
115	0.1352343791
116	0.1351477225
117	0.1350530361
118	0.1349636164
119	0.1348407793
120	0.1347546106
121	0.1346553431
122	0.1345622736
123	0.1344684579
124	0.134398025
125	0.1343005965
126	0.1342120742
127	0.1341109
128	0.1340123359
129	0.1338962995
130	0.1338184706
131	0.1337506526
132	0.1336659338
133	0.1335938791
134	0.1335286901
135	0.1334377102
136	0.1333657194
137	0.1332450321
138	0.1331643
139	0.1330741535
140	0.1330166409
141	0.1329310558
142	0.1328468696
143	0.1327607089
144	0.1326502886
145	0.1325420684
146	0.1324564477
147	0.132372748
148	0.1322717953
149	0.1321689073
150	0.1320734768
151	0.1320006556
152	0.1319133778
153	0.1318312492
154	0.1317467932
155	0.131663994
156	0.1315701889
157	0.1314984941
158	0.1314039525
159	0.1313332122
160	0.1312446355
161	0.1311752323
162	0.1310664598
163	0.1309829417
164	0.1309038242
165	0.1308338344
166	0.130767821
167	0.1306914408
168	0.1306028246
169	0.1305319931
170	0.1304541809
171	0.1303815613
172	0.1302970103
173	0.1302206858
174	0.1301341311
175	0.1300508158
176	0.1299442966
177	0.1298570056
178	0.1297753407
179	0.1296902371
180	0.1295957268
181	0.1295022696
182	0.1294082372
183	0.129308822
184	0.1292215946
185	0.1291449492
186	0.1290706423
187	0.1289768643
188	0.1288974467
189	0.1288392971
190	0.1287668914
191	0.1286929407
192	0.1286171398
193	0.1285240618
194	0.1284488031
195	0.1283303259
196	0.1282740946
197	0.1281652173
198	0.1280795316
199	0.1280052821
200	0.1279251818
201	0.127823726
202	0.1277503391
203	0.1276767422
204	0.1276075417
205	0.1275148634
206	0.12745929
207	0.1273952946
208	0.12731437
209	0.1272389675
210	0.1271562302
211	0.1270794018
212	0.1270183289
213	0.1268862616
214	0.1268318679
215	0.126690708
216	0.1265973678
217	0.1265302029
218	0.1264517914
219	0.1263772769
220	0.1263116251
221	0.1262401921
222	0.126131001
223	0.1260754525
224	0.1260232198
225	0.1259500449
226	0.1258686484
227	0.1258162042
228	0.1257206384
229	0.1256410522
230	0.1255808005
231	0.125501103
232	0.1254327097
233	0.1253745885
234	0.1252952556
235	0.1252261752
236	0.1251298924
237	0.1250792832
238	0.1250326549
239	0.1249771789
240	0.1248991187
241	0.1248337975
242	0.1247140818
243	0.1246500791
244	0.1246029228
245	0.1245390367
246	0.1244872238
247	0.1244002262
248	0.1242842549
249	0.1242325415
250	0.1241609188
251	0.1240750546
