iter	Passed	Remaining
0	4	4275
1	7	3834
2	10	3539
3	13	3348
4	15	3171
5	18	3009
6	20	2891
7	22	2817
8	25	2779
9	27	2698
10	29	2668
11	31	2619
12	33	2558
13	35	2507
14	37	2470
15	39	2437
16	41	2405
17	43	2376
18	45	2347
19	47	2318
20	49	2294
21	51	2271
22	52	2251
23	55	2238
24	56	2221
25	58	2207
26	61	2206
27	63	2195
28	65	2191
29	67	2186
30	69	2175
31	71	2168
32	73	2157
33	75	2150
34	77	2139
35	79	2128
36	81	2120
37	83	2112
38	85	2101
39	87	2095
40	89	2091
41	91	2081
42	93	2074
43	95	2069
44	97	2061
45	99	2055
46	101	2058
47	103	2053
48	105	2046
49	107	2041
50	109	2035
51	111	2032
52	113	2028
53	115	2021
54	117	2020
55	119	2018
56	121	2011
57	123	2005
58	125	2001
59	127	1997
60	129	1994
61	131	1987
62	133	1983
63	135	1979
64	137	1973
65	139	1968
66	141	1966
67	143	1962
68	145	1957
69	147	1953
70	149	1950
71	150	1945
72	153	1944
73	154	1939
74	157	1938
75	159	1935
76	161	1931
77	163	1926
78	165	1925
79	168	1932
80	170	1929
81	172	1926
82	174	1923
83	176	1920
84	178	1917
85	180	1913
86	181	1909
87	183	1905
88	185	1903
89	188	1901
90	190	1898
91	192	1895
92	193	1890
93	195	1887
94	198	1888
95	200	1886
96	202	1882
97	204	1879
98	206	1876
99	208	1872
100	210	1869
101	211	1865
102	213	1863
103	215	1860
104	217	1857
105	219	1853
106	221	1851
107	223	1848
108	225	1845
109	227	1841
110	229	1838
111	231	1836
112	233	1832
113	235	1829
114	237	1829
115	239	1827
116	242	1827
117	244	1827
118	246	1823
119	248	1824
120	250	1821
121	252	1817
122	254	1815
123	256	1813
124	258	1811
125	260	1808
126	262	1805
127	265	1805
128	266	1802
129	268	1800
130	270	1796
131	272	1793
132	274	1791
133	276	1788
134	278	1785
135	280	1783
136	282	1781
137	284	1778
138	286	1774
139	288	1772
140	290	1769
141	292	1767
142	294	1764
143	296	1762
144	298	1761
145	300	1759
146	302	1756
147	304	1754
148	306	1751
149	308	1749
150	310	1746
151	312	1743
152	314	1741
153	316	1738
154	318	1736
155	320	1733
156	322	1732
157	324	1730
158	326	1727
159	328	1723
160	330	1722
161	332	1719
162	334	1716
163	336	1715
164	338	1714
165	340	1712
166	342	1710
167	344	1708
168	346	1705
169	348	1702
170	350	1700
171	352	1698
172	354	1696
173	356	1694
174	358	1691
175	360	1688
176	362	1687
177	365	1687
